#1
#Denver
# 39.883         -104.65          1650            1
#
# hy	G_Bh	G_Dh	Ta	FF	DD	RH	N	p
double tab1(8760,9)
532	0	0	-0.60	6.2	210	35	1	827
533	0	0	-0.60	7.7	210	33	4	831
534	0	0	-1.70	5.7	220	38	2	828
535	0	0	0.00	5.7	230	33	1	830
536	11	12	1.10	8.2	210	31	1	832
537	129	38	5.00	5.2	220	24	0	835
538	123	132	9.40	5.2	230	19	4	835
539	179	160	12.80	4.6	250	14	6	835
540	128	210	15.00	5.2	270	12	7	835
541	261	161	16.10	2.6	320	8	4	835
542	422	74	16.70	4.1	340	9	2	835
543	219	110	16.70	3.1	310	9	8	835
544	39	136	16.10	6.2	290	11	7	836
545	5	27	12.80	6.2	290	12	9	835
546	0	0	8.90	5.2	300	17	7	833
547	0	0	6.70	5.2	320	22	8	833
548	0	0	4.40	4.1	160	33	6	833
549	0	0	3.90	5.2	150	35	10	831
550	0	0	2.20	5.2	160	38	9	830
551	0	0	2.80	4.6	130	35	3	834
552	0	0	2.80	6.2	160	32	0	829
553	0	0	2.20	6.2	170	31	0	830
554	0	0	2.80	6.2	170	26	1	830
555	0	0	3.30	5.2	210	23	1	829
556	0	0	3.90	5.7	190	20	8	829
557	0	0	4.40	4.6	260	21	6	831
558	0	0	5.60	2.6	140	19	4	830
559	0	0	5.60	3.6	230	19	2	832
560	3	19	3.90	4.6	220	25	8	832
561	17	63	7.20	4.1	250	19	9	834
562	36	142	8.90	3.1	260	21	9	835
563	250	118	13.30	2.6	280	18	9	832
564	136	210	14.40	3.1	320	18	9	835
565	164	208	15.60	0	0	18	9	835
566	289	167	15.00	2.1	350	18	8	834
567	207	106	14.40	2.6	10	20	4	834
568	83	86	13.30	3.1	320	23	4	834
569	28	28	12.20	5.7	310	23	2	832
570	0	0	8.90	4.6	320	30	1	835
571	0	0	6.10	3.1	310	35	0	835
572	0	0	6.10	2.1	280	37	0	835
573	0	0	4.40	4.1	250	41	0	835
574	0	0	2.20	4.6	230	51	0	835
575	0	0	1.10	4.1	250	55	0	838
576	0	0	1.10	5.7	260	50	0	834
577	0	0	0.60	5.2	270	52	0	833
578	0	0	-1.10	5.2	270	57	0	832
579	0	0	-1.10	1.5	230	57	0	832
580	0	0	-1.10	3.6	240	57	0	832
581	0	0	1.10	1.5	170	41	0	836
582	0	0	-3.30	2.1	240	62	0	831
583	0	0	-3.30	2.6	200	65	0	832
584	16	11	-2.20	3.1	150	62	0	832
585	139	33	3.30	2.1	150	45	0	833
586	271	61	5.60	0	0	38	4	834
587	93	232	6.10	0	0	37	8	835
588	160	234	8.90	3.1	30	30	7	833
589	285	194	10.00	4.1	320	22	10	832
590	127	166	11.10	5.2	330	22	10	832
591	213	133	11.70	5.7	70	22	9	832
592	92	79	9.40	11.3	20	27	10	832
593	3	49	7.80	9.8	40	30	10	831
594	0	0	5.60	10.3	50	33	7	831
595	0	0	3.90	9.3	40	39	8	830
596	0	0	5.00	4.6	60	38	9	829
597	0	0	6.10	5.2	70	35	8	829
598	0	0	5.00	6.7	40	44	2	828
599	0	0	4.40	5.2	60	48	4	828
600	0	0	3.30	2.1	30	63	0	826
601	0	0	2.20	2.1	70	71	2	826
602	0	0	0.60	2.1	150	80	4	825
603	0	0	-1.10	3.6	220	91	6	824
604	0	0	-3.90	4.1	220	91	8	824
605	0	0	-5.00	5.7	230	86	7	826
606	0	0	-5.60	4.6	230	87	8	824
607	0	0	-6.70	4.1	230	87	9	825
608	2	17	-7.80	4.1	240	87	10	826
609	24	48	-7.80	3.6	240	87	10	827
610	94	161	-7.20	3.1	240	82	8	827
611	213	153	-7.20	4.1	290	78	6	828
612	368	111	-5.60	4.6	290	72	3	827
613	464	77	-4.40	5.2	340	61	2	827
614	429	64	-6.10	3.6	340	75	0	828
615	330	55	-5.60	2.6	30	72	0	828
